"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"168",11,"Shi Smith",CAR,"151","250","179.3","30.4","-"
"169",11,"Trent Sherfield",MIA,"140","177","163.5","11.9","-"
"170",11,"Dezmon Patmon",IND,"154","176","164.5","8.3","-"
"171",11,"Bo Melton",SEA,"146","277","183.0","41.3","-"
"172",11,"Seth Williams",DEN,"126","172","154.6","15.8","-"
"173",11,"KhaDarel Hodge",ATL,"146","187","169.2","15.6","-"
"174",11,"Dazz Newsome",FA,"119","177","156.6","20.4","-"
"175",11,"Josh Gordon",KC,"155","226","172.0","25.2","-61"
"176",11,"Jalen Nailor",MIN,"144","184","160.8","13.4","-60"
"177",11,"Tyron Johnson",LV,"152","256","177.0","36.4","-"
"178",11,"Mike Strachan",IND,"157","188","174.8","10.6","-"
"179",11,"Stanley Morgan Jr.",CIN,"157","180","165.2","8.4","-"
"180",11,"Tajae Sharpe",CHI,"101","193","150.3","33.7","-"
"181",11,"Montrell Washington",DEN,"92","295","165.8","77.0","-"
"182",11,"Marcus Johnson",SF,"161","173","167.4","4.0","-"
"183",11,"Marquise Goodwin",SEA,"158","179","171.4","8.7","-61"
"184",11,"Tyrell Williams",FA,"129","137","133.3","3.3","-"
"185",11,"Lance McCutcheon",LAR,"148","174","158.8","11.2","-"
"186",11,"Jeff Smith",NYJ,"163","231","183.8","23.7","-"
"187",11,"Scotty Miller",TB,"169","271","196.3","31.2","-"
"188",11,"Justyn Ross",KC,"128","144","135.0","6.7","-94"
"189",11,"Jaelon Darden",TB,"150","292","186.4","53.4","-77"
"190",11,"Miles Boykin",PIT,"143","231","176.6","30.6","-"
"191",11,"Chester Rogers",HOU,"123","150","140.3","12.3","-"
"192",11,"DeSean Jackson",FA,"115","169","141.0","22.1","-"
"193",11,"Mohamed Sanu Sr.",MIA,"129","232","164.8","40.2","-"
"194",11,"Richie James Jr.",NYG,"152","213","178.4","22.1","-"
"195",11,"Samori Toure",GB,"115","200","166.0","31.2","-"
"196",11,"Lil'Jordan Humphrey",NE,"162","210","181.6","15.9","-"
"197",11,"Penny Hart",SEA,"161","280","192.8","44.2","-"
"198",11,"Juwann Winfree",GB,"171","203","186.2","11.5","-"
"199",12,"Lynn Bowden Jr.",MIA,"179","196","188.4","5.9","-59"
"200",12,"Dennis Houston",DAL,"150","172","161.0","9.0","-"
"201",12,"Dante Pettis",CHI,"146","217","179.8","25.3","-"
"202",12,"Greg Dortch",ARI,"171","248","194.2","28.8","-"
"203",12,"Greg Ward",PHI,"147","221","182.5","26.2","-"
"204",12,"Jason Moore Jr.",LAC,"154","298","201.8","57.9","-"
"205",12,"Malik Turner",SF,"134","195","170.0","26.1","-"
"206",12,"Jake Kumerow",BUF,"158","191","170.3","14.7","-87"
"207",12,"Ja'Marcus Bradley",CLE,"149","263","193.5","44.7","-"
"208",12,"Joe Reed",LAC,"173","285","206.8","43.1","-"
"209",12,"Dax Milne",WAS,"139","200","173.0","25.4","-"
"210",12,"T.J. Vasher",DAL,"163","181","173.3","7.6","-"
"211",12,"Binjimen Victor",BAL,"180","207","188.3","11.1","-"
"212",12,"Cody White",PIT,"157","264","203.8","40.5","-"
"213",12,"Adam Humphries",FA,"150","153","151.5","1.5","-"
"214",12,"Racey McMath",TEN,"132","305","202.7","74.1","-"
"215",12,"Trent Taylor",CIN,"164","279","203.8","44.4","-"
"216",12,"Nsimba Webster",CHI,"172","309","216.0","50.8","-"
